launch,name,param,meanMs,minMs,stdevMs,samples,inner,sampledMs
1,worker-allocation-direct,20000,5.0547919,2.5309,4.4718712,198,1,1000.8488
1,worker-allocation-fixed-work,1,5.6511627,3.2965,5.1653783,177,1,1000.2558
1,worker-allocation-fixed-work,2,3.7081753,1.6942,5.9380617,271,1,1004.9155
1,worker-allocation-fixed-work,4,1.248102,0.9435,0.661636,803,1,1002.2259
2,worker-allocation-direct,20000,4.8017129,2.381,4.0983951,209,1,1003.558
2,worker-allocation-fixed-work,1,5.6913636,2.3587,5.9617589,176,1,1001.68
2,worker-allocation-fixed-work,2,3.7729417,1.7049,5.7946127,271,1,1022.4672
2,worker-allocation-fixed-work,4,1.2141559,0.9291,0.4037115,824,1,1000.4645
3,worker-allocation-direct,20000,5.1427842,2.4619,5.6357789,196,1,1007.9857
3,worker-allocation-fixed-work,1,6.1031274,3.3375,6.6740235,164,1,1000.9129
3,worker-allocation-fixed-work,2,3.5064517,1.7116,4.8954086,286,1,1002.8452
3,worker-allocation-fixed-work,4,1.1866051,0.8996,0.6289418,845,1,1002.6813
4,worker-allocation-direct,20000,5.1362195,2.5778,4.6116154,195,1,1001.5628
4,worker-allocation-fixed-work,1,5.8289163,2.4298,6.2056894,172,1,1002.5736
4,worker-allocation-fixed-work,2,3.6400865,1.7057,5.2719279,275,1,1001.0238
4,worker-allocation-fixed-work,4,1.2079114,0.9357,0.3674889,414,2,1000.1506
5,worker-allocation-direct,20000,4.8827341,2.4564,4.2732723,205,1,1000.9605
5,worker-allocation-fixed-work,1,5.9138506,2.3996,7.4613539,174,1,1029.01
5,worker-allocation-fixed-work,2,3.7021393,1.7276,5.2403151,272,1,1006.9819
5,worker-allocation-fixed-work,4,1.2053795,0.9176,0.5535851,830,1,1000.465
