"version","workers","jobs","bytesPerJob","gen0","gen1","gen2","pauseMs","peakWorkingSetBytes","processAllocatedBytes","serverGc"
"baseline","0","20","11405339.2","14","14","6","448.06","84410368","445401688","False"
"baseline","1","20","11410067.2","19","19","6","921.838","130875392","286123016","False"
"baseline","2","20","11413951.2","19","19","6","345.987","141705216","503849304","False"
"baseline","4","20","11420488.4","13","13","0","568.456","117518336","356739768","False"
"candidate","0","20","5165217.6","7","7","3","473.684","96116736","568757824","False"
"candidate","1","20","5169658.8","7","7","2","377.71","142991360","234697672","False"
"candidate","2","20","5172712.4","7","7","2","501.166","136777728","173385208","False"
"candidate","4","20","5179508","6","5","0","19.086","112676864","2184486176","False"
"adaptive","0","20","5165014","3","2","1","18.861","229138432","1178228192","True"
"adaptive","1","20","5169224.8","4","2","1","28.265","322015232","803323856","True"
"adaptive","2","20","5172682.8","4","2","1","38.323","424517632","1099343776","True"
"adaptive","4","20","5179545.6","4","2","1","5.713","152055808","2453837456","True"
