platform,workload,mode,version,launch,name,param,meanMs,minMs,stdevMs,samples,inner,sampledMs
windows,worker-allocation-scaling,compiled,baseline,1,worker-allocation-direct,20000,26.2761308,8.8899,14.239918,39,1,1024.7691
windows,worker-allocation-scaling,compiled,baseline,1,worker-allocation-fixed-work,1,35.5236,15.6169,15.3303923,29,1,1030.1844
windows,worker-allocation-scaling,compiled,baseline,1,worker-allocation-fixed-work,2,29.4489706,7.4896,18.1992055,34,1,1001.265
windows,worker-allocation-scaling,compiled,baseline,1,worker-allocation-fixed-work,4,9.128555,3.9893,4.3607917,111,1,1013.2696
windows,worker-allocation-scaling,compiled,baseline,2,worker-allocation-direct,20000,18.9298623,4.4478,9.735487,53,1,1003.2827
windows,worker-allocation-scaling,compiled,baseline,2,worker-allocation-fixed-work,1,27.6416079,8.9448,13.2771429,38,1,1050.3811
windows,worker-allocation-scaling,compiled,baseline,2,worker-allocation-fixed-work,2,23.01295,5.0034,14.275997,44,1,1012.5698
windows,worker-allocation-scaling,compiled,baseline,2,worker-allocation-fixed-work,4,10.4295031,3.9353,4.5606537,97,1,1011.6618
windows,worker-allocation-scaling,compiled,baseline,3,worker-allocation-direct,20000,19.6888431,4.4187,10.5871265,51,1,1004.131
windows,worker-allocation-scaling,compiled,baseline,3,worker-allocation-fixed-work,1,25.770361,8.4925,15.1727478,41,1,1056.5848
windows,worker-allocation-scaling,compiled,baseline,3,worker-allocation-fixed-work,2,23.4328977,4.7464,13.5047677,44,1,1031.0475
windows,worker-allocation-scaling,compiled,baseline,3,worker-allocation-fixed-work,4,7.7545713,3.8315,3.181413,129,1,1000.3397
windows,worker-allocation-scaling,compiled,baseline,4,worker-allocation-direct,20000,21.045725,4.7808,14.6937095,48,1,1010.1948
windows,worker-allocation-scaling,compiled,baseline,4,worker-allocation-fixed-work,1,31.4523844,14.3567,14.978468,32,1,1006.4763
windows,worker-allocation-scaling,compiled,baseline,4,worker-allocation-fixed-work,2,25.0206275,4.6455,14.245275,40,1,1000.8251
windows,worker-allocation-scaling,compiled,baseline,4,worker-allocation-fixed-work,4,8.1119202,3.829,3.643895,124,1,1005.8781
windows,worker-allocation-scaling,compiled,baseline,5,worker-allocation-direct,20000,21.2585625,8.524,11.407454,48,1,1020.411
windows,worker-allocation-scaling,compiled,baseline,5,worker-allocation-fixed-work,1,33.3720516,13.8343,15.7034987,31,1,1034.5336
windows,worker-allocation-scaling,compiled,baseline,5,worker-allocation-fixed-work,2,26.7923763,4.367,15.4273662,38,1,1018.1103
windows,worker-allocation-scaling,compiled,baseline,5,worker-allocation-fixed-work,4,10.55538,3.8032,4.6178168,95,1,1002.7611
windows,worker-allocation-scaling,compiled,candidate,1,worker-allocation-direct,20000,6.2464783,2.4127,6.8451552,161,1,1005.683
windows,worker-allocation-scaling,compiled,candidate,1,worker-allocation-fixed-work,1,9.0576545,3.0821,9.9073172,112,1,1014.4573
windows,worker-allocation-scaling,compiled,candidate,1,worker-allocation-fixed-work,2,11.1113935,1.6985,13.8205388,92,1,1022.2482
windows,worker-allocation-scaling,compiled,candidate,1,worker-allocation-fixed-work,4,2.5062674,0.912,1.5841518,399,1,1000.0007
windows,worker-allocation-scaling,compiled,candidate,2,worker-allocation-direct,20000,6.4243471,2.3944,7.0139388,157,1,1008.6225
windows,worker-allocation-scaling,compiled,candidate,2,worker-allocation-fixed-work,1,8.9249921,2.9918,9.901021,114,1,1017.4491
windows,worker-allocation-scaling,compiled,candidate,2,worker-allocation-fixed-work,2,6.3099616,1.7338,6.9996319,159,1,1003.2839
windows,worker-allocation-scaling,compiled,candidate,2,worker-allocation-fixed-work,4,2.5670421,0.9345,1.50579,390,1,1001.1464
windows,worker-allocation-scaling,compiled,candidate,3,worker-allocation-direct,20000,5.0299925,1.1684,6.108952,200,1,1005.9985
windows,worker-allocation-scaling,compiled,candidate,3,worker-allocation-fixed-work,1,7.4213228,1.9701,7.8910628,136,1,1009.2999
