group,workload,order,launch,mode,version,started,budgetMs,case,parameter
paired,worker-allocation-scaling,1,1,compiled,baseline,2026-09-04T22:06:36.4968543-07:00,1000,,
paired,worker-allocation-scaling,2,1,compiled,candidate,2026-09-04T22:06:52.6100842-07:00,1000,,
paired,worker-allocation-scaling,3,1,interpreter,baseline,2026-09-04T22:07:08.4016814-07:00,1000,,
paired,worker-allocation-scaling,4,1,interpreter,candidate,2026-09-04T22:07:22.1697612-07:00,1000,,
paired,worker-allocation-scaling,5,1,node,control,2026-09-04T22:07:36.7373327-07:00,1000,,
paired,worker-allocation-scaling,6,2,interpreter,candidate,2026-09-04T22:07:45.3938437-07:00,1000,,
paired,worker-allocation-scaling,7,2,interpreter,baseline,2026-09-04T22:07:59.2778290-07:00,1000,,
paired,worker-allocation-scaling,8,2,node,control,2026-09-04T22:08:12.4273383-07:00,1000,,
paired,worker-allocation-scaling,9,2,compiled,candidate,2026-09-04T22:08:21.0896159-07:00,1000,,
paired,worker-allocation-scaling,10,2,compiled,baseline,2026-09-04T22:08:36.4892745-07:00,1000,,
paired,worker-allocation-scaling,11,3,node,control,2026-09-04T22:08:52.1814806-07:00,1000,,
paired,worker-allocation-scaling,12,3,compiled,baseline,2026-09-04T22:09:00.8858780-07:00,1000,,
paired,worker-allocation-scaling,13,3,compiled,candidate,2026-09-04T22:09:16.6327039-07:00,1000,,
paired,worker-allocation-scaling,14,3,interpreter,baseline,2026-09-04T22:09:31.7585392-07:00,1000,,
paired,worker-allocation-scaling,15,3,interpreter,candidate,2026-09-04T22:09:44.6678994-07:00,1000,,
paired,worker-allocation-scaling,16,4,compiled,candidate,2026-09-04T22:09:57.8129458-07:00,1000,,
paired,worker-allocation-scaling,17,4,compiled,baseline,2026-09-04T22:10:13.1093579-07:00,1000,,
paired,worker-allocation-scaling,18,4,interpreter,candidate,2026-09-04T22:10:28.9211138-07:00,1000,,
paired,worker-allocation-scaling,19,4,interpreter,baseline,2026-09-04T22:10:42.4956755-07:00,1000,,
paired,worker-allocation-scaling,20,4,node,control,2026-09-04T22:10:55.8379934-07:00,1000,,
paired,worker-allocation-scaling,21,5,interpreter,baseline,2026-09-04T22:11:04.5767171-07:00,1000,,
paired,worker-allocation-scaling,22,5,interpreter,candidate,2026-09-04T22:11:20.8141807-07:00,1000,,
paired,worker-allocation-scaling,23,5,node,control,2026-09-04T22:11:34.3416726-07:00,1000,,
paired,worker-allocation-scaling,24,5,compiled,baseline,2026-09-04T22:11:43.0151922-07:00,1000,,
paired,worker-allocation-scaling,25,5,compiled,candidate,2026-09-04T22:11:58.6902919-07:00,1000,,
paired,worker-message-latency,1,1,compiled,baseline,2026-09-04T22:12:15.1289334-07:00,1000,,
paired,worker-message-latency,2,1,compiled,candidate,2026-09-04T22:12:32.3645998-07:00,1000,,
paired,worker-message-latency,3,1,interpreter,baseline,2026-09-04T22:12:53.5112009-07:00,1000,,
paired,worker-message-latency,4,1,interpreter,candidate,2026-09-04T22:13:09.2452572-07:00,1000,,
paired,worker-message-latency,5,1,node,control,2026-09-04T22:13:25.5100815-07:00,1000,,
paired,worker-message-latency,6,2,interpreter,candidate,2026-09-04T22:13:34.8494178-07:00,1000,,
paired,worker-message-latency,7,2,interpreter,baseline,2026-09-04T22:13:50.3337560-07:00,1000,,
paired,worker-message-latency,8,2,node,control,2026-09-04T22:14:05.8066810-07:00,1000,,
paired,worker-message-latency,9,2,compiled,candidate,2026-09-04T22:14:15.3671842-07:00,1000,,
paired,worker-message-latency,10,2,compiled,baseline,2026-09-04T22:14:35.6268454-07:00,1000,,
paired,worker-message-latency,11,3,node,control,2026-09-04T22:14:58.0710535-07:00,1000,,
paired,worker-message-latency,12,3,compiled,baseline,2026-09-04T22:15:06.7705064-07:00,1000,,
paired,worker-message-latency,13,3,compiled,candidate,2026-09-04T22:15:28.0096998-07:00,1000,,
paired,worker-message-latency,14,3,interpreter,baseline,2026-09-04T22:15:48.3921201-07:00,1000,,
paired,worker-message-latency,15,3,interpreter,candidate,2026-09-04T22:16:01.5807246-07:00,1000,,
paired,worker-message-latency,16,4,compiled,candidate,2026-09-04T22:16:15.3922886-07:00,1000,,
paired,worker-message-latency,17,4,compiled,baseline,2026-09-04T22:16:34.7984980-07:00,1000,,
paired,worker-message-latency,18,4,interpreter,candidate,2026-09-04T22:16:55.4412455-07:00,1000,,
paired,worker-message-latency,19,4,interpreter,baseline,2026-09-04T22:17:11.1152261-07:00,1000,,
paired,worker-message-latency,20,4,node,control,2026-09-04T22:17:24.2898021-07:00,1000,,
paired,worker-message-latency,21,5,interpreter,baseline,2026-09-04T22:17:33.3714988-07:00,1000,,
paired,worker-message-latency,22,5,interpreter,candidate,2026-09-04T22:17:45.4293812-07:00,1000,,
paired,worker-message-latency,23,5,node,control,2026-09-04T22:18:01.2539172-07:00,1000,,
paired,worker-message-latency,24,5,compiled,baseline,2026-09-04T22:18:11.0148774-07:00,1000,,
paired,worker-message-latency,25,5,compiled,candidate,2026-09-04T22:18:31.0622460-07:00,1000,,
paired-final,array-methods--10000,1,1,compiled,baseline,2026-09-04T22:40:59.0769607-07:00,300,,10000
paired-final,array-methods--10000,2,1,compiled,candidate,2026-09-04T22:40:59.9328211-07:00,300,,10000
paired-final,array-methods--10000,3,2,compiled,candidate,2026-09-04T22:41:00.7762666-07:00,300,,10000
paired-final,array-methods--10000,4,2,compiled,baseline,2026-09-04T22:41:01.6017522-07:00,300,,10000
paired-final,array-methods--10000,5,3,compiled,baseline,2026-09-04T22:41:02.4277894-07:00,300,,10000
