variant,runtime,workload,n,launch,mean_ms
baseline,compiled,custom-iterator-dynamic-control,10000,1,2.8408642
baseline,compiled,custom-iterator-dynamic-control,100000,1,16.7686833
candidate,compiled,custom-iterator-dynamic-control,10000,1,2.0096013
candidate,compiled,custom-iterator-dynamic-control,100000,1,3.8474821
baseline,interpreter,custom-iterator-dynamic-control,10000,1,42.06595
baseline,interpreter,custom-iterator-dynamic-control,100000,1,102.764
candidate,interpreter,custom-iterator-dynamic-control,10000,1,30.75851
candidate,interpreter,custom-iterator-dynamic-control,100000,1,60.87365
reference,node,custom-iterator-dynamic-control,10000,1,0.0351153
reference,node,custom-iterator-dynamic-control,100000,1,0.3458083
candidate,compiled,custom-iterator-dynamic-control,10000,2,1.0936389
candidate,compiled,custom-iterator-dynamic-control,100000,2,3.638494
baseline,compiled,custom-iterator-dynamic-control,10000,2,5.1733017
baseline,compiled,custom-iterator-dynamic-control,100000,2,15.03763
candidate,interpreter,custom-iterator-dynamic-control,10000,2,25.2327083
candidate,interpreter,custom-iterator-dynamic-control,100000,2,67.342775
baseline,interpreter,custom-iterator-dynamic-control,10000,2,38.309875
baseline,interpreter,custom-iterator-dynamic-control,100000,2,96.8238125
reference,node,custom-iterator-dynamic-control,10000,2,0.0323135
reference,node,custom-iterator-dynamic-control,100000,2,0.319483
baseline,compiled,custom-iterator-dynamic-control,10000,3,4.8779887
baseline,compiled,custom-iterator-dynamic-control,100000,3,14.7585762
candidate,compiled,custom-iterator-dynamic-control,10000,3,1.0215585
candidate,compiled,custom-iterator-dynamic-control,100000,3,4.1673486
baseline,interpreter,custom-iterator-dynamic-control,10000,3,42.2109625
baseline,interpreter,custom-iterator-dynamic-control,100000,3,112.37255
candidate,interpreter,custom-iterator-dynamic-control,10000,3,15.9558053
candidate,interpreter,custom-iterator-dynamic-control,100000,3,61.2226
reference,node,custom-iterator-dynamic-control,10000,3,0.0304155
reference,node,custom-iterator-dynamic-control,100000,3,0.3032433
candidate,compiled,custom-iterator-dynamic-control,10000,4,1.4232109
